label,date,team.name,count
"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",AGF,40
"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",Midtjylland,38
"AGF - Nordsjælland, 4 - 2","August 31, 2024 at 4:00:00 PM GMT+2",AGF,29
"AGF - Nordsjælland, 4 - 2","August 31, 2024 at 4:00:00 PM GMT+2",Nordsjælland,25
"AGF - SønderjyskE, 4 - 0","August 2, 2024 at 7:00:00 PM GMT+2",AGF,32
"AGF - SønderjyskE, 4 - 0","August 2, 2024 at 7:00:00 PM GMT+2",SønderjyskE,28
"AGF - Vejle, 5 - 1","August 19, 2024 at 7:00:00 PM GMT+2",AGF,38
"AGF - Vejle, 5 - 1","August 19, 2024 at 7:00:00 PM GMT+2",Vejle,27
"AaB - AGF, 0 - 4","August 23, 2024 at 7:00:00 PM GMT+2",AGF,30
"AaB - AGF, 0 - 4","August 23, 2024 at 7:00:00 PM GMT+2",AaB,28
"AaB - Brøndby, 0 - 4","August 18, 2024 at 6:00:00 PM GMT+2",AaB,24
"AaB - Brøndby, 0 - 4","August 18, 2024 at 6:00:00 PM GMT+2",Brøndby,54
"AaB - Silkeborg, 2 - 1","July 28, 2024 at 4:00:00 PM GMT+2",AaB,29
"AaB - Silkeborg, 2 - 1","July 28, 2024 at 4:00:00 PM GMT+2",Silkeborg,39
"Brøndby - AGF, 0 - 1","August 11, 2024 at 4:00:00 PM GMT+2",AGF,30
"Brøndby - AGF, 0 - 1","August 11, 2024 at 4:00:00 PM GMT+2",Brøndby,45
"Brøndby - Randers, 2 - 2","August 25, 2024 at 6:00:00 PM GMT+2",Brøndby,47
"Brøndby - Randers, 2 - 2","August 25, 2024 at 6:00:00 PM GMT+2",Randers,21
"Brøndby - Vejle, 2 - 1","July 29, 2024 at 7:00:00 PM GMT+2",Brøndby,29
"Brøndby - Vejle, 2 - 1","July 29, 2024 at 7:00:00 PM GMT+2",Vejle,41
"København - AGF, 3 - 2","July 28, 2024 at 6:00:00 PM GMT+2",AGF,34
"København - AGF, 3 - 2","July 28, 2024 at 6:00:00 PM GMT+2",København,38
"København - Brøndby, 3 - 1","September 1, 2024 at 2:00:00 PM GMT+2",Brøndby,62
"København - Brøndby, 3 - 1","September 1, 2024 at 2:00:00 PM GMT+2",København,8
"København - Randers, 1 - 1","August 4, 2024 at 4:00:00 PM GMT+2",København,80
"København - Randers, 1 - 1","August 4, 2024 at 4:00:00 PM GMT+2",Randers,16
"København - Viborg, 1 - 1","August 18, 2024 at 4:00:00 PM GMT+2",København,43
"København - Viborg, 1 - 1","August 18, 2024 at 4:00:00 PM GMT+2",Viborg,30
"Lyngby - Brøndby, 0 - 2","August 4, 2024 at 6:00:00 PM GMT+2",Brøndby,23
"Lyngby - Brøndby, 0 - 2","August 4, 2024 at 6:00:00 PM GMT+2",Lyngby,41
"Lyngby - København, 0 - 2","July 22, 2024 at 7:00:00 PM GMT+2",København,34
"Lyngby - København, 0 - 2","July 22, 2024 at 7:00:00 PM GMT+2",Lyngby,39
"Lyngby - Midtjylland, 1 - 2","August 16, 2024 at 7:00:00 PM GMT+2",Lyngby,26
"Lyngby - Midtjylland, 1 - 2","August 16, 2024 at 7:00:00 PM GMT+2",Midtjylland,60
"Lyngby - Vejle, 1 - 0","August 30, 2024 at 7:00:00 PM GMT+2",Lyngby,24
"Lyngby - Vejle, 1 - 0","August 30, 2024 at 7:00:00 PM GMT+2",Vejle,43
"Midtjylland - AaB, 2 - 0","August 3, 2024 at 4:00:00 PM GMT+2",AaB,48
"Midtjylland - AaB, 2 - 0","August 3, 2024 at 4:00:00 PM GMT+2",Midtjylland,33
"Midtjylland - SønderjyskE, 3 - 2","August 24, 2024 at 4:00:00 PM GMT+2",Midtjylland,35
"Midtjylland - SønderjyskE, 3 - 2","August 24, 2024 at 4:00:00 PM GMT+2",SønderjyskE,35
"Midtjylland - Vejle, 2 - 0","August 9, 2024 at 7:00:00 PM GMT+2",Midtjylland,45
"Midtjylland - Vejle, 2 - 0","August 9, 2024 at 7:00:00 PM GMT+2",Vejle,34
"Nordsjælland - AaB, 3 - 0","July 19, 2024 at 8:00:00 PM GMT+2",AaB,38
"Nordsjælland - AaB, 3 - 0","July 19, 2024 at 8:00:00 PM GMT+2",Nordsjælland,29
"Nordsjælland - København, 3 - 2","August 25, 2024 at 4:00:00 PM GMT+2",København,40
"Nordsjælland - København, 3 - 2","August 25, 2024 at 4:00:00 PM GMT+2",Nordsjælland,33
"Nordsjælland - Lyngby, 1 - 1","August 11, 2024 at 2:00:00 PM GMT+2",Lyngby,14
"Nordsjælland - Lyngby, 1 - 1","August 11, 2024 at 2:00:00 PM GMT+2",Nordsjælland,48
"Nordsjælland - Midtjylland, 2 - 2","July 27, 2024 at 4:00:00 PM GMT+2",Midtjylland,39
"Nordsjælland - Midtjylland, 2 - 2","July 27, 2024 at 4:00:00 PM GMT+2",Nordsjælland,40
"Randers - AaB, 1 - 0","September 1, 2024 at 6:00:00 PM GMT+2",AaB,56
"Randers - AaB, 1 - 0","September 1, 2024 at 6:00:00 PM GMT+2",Randers,24
"Randers - Silkeborg, 0 - 2","August 11, 2024 at 2:00:00 PM GMT+2",Randers,50
"Randers - Silkeborg, 0 - 2","August 11, 2024 at 2:00:00 PM GMT+2",Silkeborg,13
"Randers - SønderjyskE, 1 - 2","August 18, 2024 at 2:00:00 PM GMT+2",Randers,52
"Randers - SønderjyskE, 1 - 2","August 18, 2024 at 2:00:00 PM GMT+2",SønderjyskE,33
"Randers - Viborg, 3 - 1","July 28, 2024 at 2:00:00 PM GMT+2",Randers,28
"Randers - Viborg, 3 - 1","July 28, 2024 at 2:00:00 PM GMT+2",Viborg,43
"Silkeborg - Midtjylland, 1 - 3","September 1, 2024 at 4:00:00 PM GMT+2",Midtjylland,40
"Silkeborg - Midtjylland, 1 - 3","September 1, 2024 at 4:00:00 PM GMT+2",Silkeborg,26
"Silkeborg - Nordsjælland, 4 - 1","August 18, 2024 at 2:00:00 PM GMT+2",Nordsjælland,43
"Silkeborg - Nordsjælland, 4 - 1","August 18, 2024 at 2:00:00 PM GMT+2",Silkeborg,23
"Silkeborg - SønderjyskE, 1 - 0","July 21, 2024 at 2:00:00 PM GMT+2",Silkeborg,36
"Silkeborg - SønderjyskE, 1 - 0","July 21, 2024 at 2:00:00 PM GMT+2",SønderjyskE,24
"Silkeborg - Viborg, 3 - 2","August 4, 2024 at 2:00:00 PM GMT+2",Silkeborg,28
"Silkeborg - Viborg, 3 - 2","August 4, 2024 at 2:00:00 PM GMT+2",Viborg,36
"SønderjyskE - København, 0 - 2","August 11, 2024 at 6:00:00 PM GMT+2",København,37
"SønderjyskE - København, 0 - 2","August 11, 2024 at 6:00:00 PM GMT+2",SønderjyskE,29
"SønderjyskE - Lyngby, 1 - 1","July 26, 2024 at 7:00:00 PM GMT+2",Lyngby,23
"SønderjyskE - Lyngby, 1 - 1","July 26, 2024 at 7:00:00 PM GMT+2",SønderjyskE,41
"SønderjyskE - Viborg, 2 - 2","September 1, 2024 at 2:00:00 PM GMT+2",SønderjyskE,34
"SønderjyskE - Viborg, 2 - 2","September 1, 2024 at 2:00:00 PM GMT+2",Viborg,39
"Vejle - Nordsjælland, 0 - 1","August 5, 2024 at 7:00:00 PM GMT+2",Nordsjælland,42
"Vejle - Nordsjælland, 0 - 1","August 5, 2024 at 7:00:00 PM GMT+2",Vejle,34
"Vejle - Randers, 2 - 3","July 21, 2024 at 4:00:00 PM GMT+2",Randers,39
"Vejle - Randers, 2 - 3","July 21, 2024 at 4:00:00 PM GMT+2",Vejle,35
"Vejle - Silkeborg, 1 - 3","August 25, 2024 at 2:00:00 PM GMT+2",Silkeborg,29
"Vejle - Silkeborg, 1 - 3","August 25, 2024 at 2:00:00 PM GMT+2",Vejle,48
"Viborg - AaB, 2 - 3","August 12, 2024 at 7:00:00 PM GMT+2",AaB,30
"Viborg - AaB, 2 - 3","August 12, 2024 at 7:00:00 PM GMT+2",Viborg,50
"Viborg - Brøndby, 3 - 3","July 21, 2024 at 6:00:00 PM GMT+2",Brøndby,51
"Viborg - Brøndby, 3 - 3","July 21, 2024 at 6:00:00 PM GMT+2",Viborg,18
"Viborg - Lyngby, 1 - 0","August 26, 2024 at 7:00:00 PM GMT+2",Lyngby,50
"Viborg - Lyngby, 1 - 0","August 26, 2024 at 7:00:00 PM GMT+2",Viborg,35
