team.name,label,territorial_possession,count
AGF U19,"AGF U19 - AaB U19, 2 - 1",AGF U19,1
AGF U19,"AGF U19 - AaB U19, 2 - 1",Middle,1
AGF U19,"AGF U19 - AaB U19, 2 - 1",Nordsjælland U19,1
AGF U19,"AGF U19 - Brøndby U19, 2 - 2 (P)",AGF U19,1
AGF U19,"AGF U19 - Brøndby U19, 2 - 2 (P)",Middle,1
AGF U19,"AGF U19 - Brøndby U19, 2 - 2 (P)",Nordsjælland U19,1
AGF U19,"AGF U19 - Esbjerg U19, 0 - 4",AGF U19,1
AGF U19,"AGF U19 - Esbjerg U19, 0 - 4",Middle,1
AGF U19,"AGF U19 - Esbjerg U19, 0 - 4",Nordsjælland U19,1
AGF U19,"AGF U19 - Horsens U19, 1 - 2",AGF U19,1
AGF U19,"AGF U19 - Horsens U19, 1 - 2",Middle,1
AGF U19,"AGF U19 - Horsens U19, 1 - 2",Nordsjælland U19,1
AGF U19,"AGF U19 - København U19, 1 - 3",AGF U19,1
AGF U19,"AGF U19 - København U19, 1 - 3",Middle,1
AGF U19,"AGF U19 - København U19, 1 - 3",Nordsjælland U19,1
AGF U19,"AGF U19 - Midtjylland U19, 4 - 0",AGF U19,1
AGF U19,"AGF U19 - Midtjylland U19, 4 - 0",Middle,1
AGF U19,"AGF U19 - Midtjylland U19, 4 - 0",Nordsjælland U19,1
AGF U19,"AGF U19 - Nordsjælland U19, 1 - 1",AGF U19,1
AGF U19,"AGF U19 - Nordsjælland U19, 1 - 1",Middle,1
AGF U19,"AGF U19 - Nordsjælland U19, 1 - 1",Nordsjælland U19,1
AGF U19,"AGF U19 - OB U19, 3 - 2",AGF U19,1
AGF U19,"AGF U19 - OB U19, 3 - 2",Middle,1
AGF U19,"AGF U19 - OB U19, 3 - 2",Nordsjælland U19,1
AGF U19,"AGF U19 - Randers U19, 1 - 2",AGF U19,1
AGF U19,"AGF U19 - Randers U19, 1 - 2",Middle,1
AGF U19,"AGF U19 - Randers U19, 1 - 2",Nordsjælland U19,1
AGF U19,"AGF U19 - Silkeborg U19, 0 - 4",AGF U19,1
AGF U19,"AGF U19 - Silkeborg U19, 0 - 4",Middle,1
AGF U19,"AGF U19 - Silkeborg U19, 0 - 4",Nordsjælland U19,1
AGF U19,"AGF U19 - SønderjyskE U19, 4 - 4 (P)",AGF U19,1
AGF U19,"AGF U19 - SønderjyskE U19, 4 - 4 (P)",Middle,1
AGF U19,"AGF U19 - SønderjyskE U19, 4 - 4 (P)",Nordsjælland U19,1
AGF U19,"AGF U19 - Vejle U19, 4 - 2",AGF U19,1
AGF U19,"AGF U19 - Vejle U19, 4 - 2",Middle,1
AGF U19,"AGF U19 - Vejle U19, 4 - 2",Nordsjælland U19,1
AGF U19,"AaB U19 - AGF U19, 3 - 0",AGF U19,1
AGF U19,"AaB U19 - AGF U19, 3 - 0",Middle,1
AGF U19,"AaB U19 - AGF U19, 3 - 0",Nordsjælland U19,1
AGF U19,"Brøndby U19 - AGF U19, 3 - 6",AGF U19,1
AGF U19,"Brøndby U19 - AGF U19, 3 - 6",Middle,1
AGF U19,"Brøndby U19 - AGF U19, 3 - 6",Nordsjælland U19,1
AGF U19,"Esbjerg U19 - AGF U19, 2 - 3",AGF U19,1
AGF U19,"Esbjerg U19 - AGF U19, 2 - 3",Middle,1
AGF U19,"Esbjerg U19 - AGF U19, 2 - 3",Nordsjælland U19,1
AGF U19,"Horsens U19 - AGF U19, 6 - 2",AGF U19,1
AGF U19,"Horsens U19 - AGF U19, 6 - 2",Middle,1
AGF U19,"Horsens U19 - AGF U19, 6 - 2",Nordsjælland U19,1
AGF U19,"København U19 - AGF U19, 3 - 1",AGF U19,1
AGF U19,"København U19 - AGF U19, 3 - 1",Middle,1
AGF U19,"København U19 - AGF U19, 3 - 1",Nordsjælland U19,1
AGF U19,"Lyngby U19 - AGF U19, 0 - 2",AGF U19,1
AGF U19,"Lyngby U19 - AGF U19, 0 - 2",Middle,1
AGF U19,"Lyngby U19 - AGF U19, 0 - 2",Nordsjælland U19,1
AGF U19,"Lyngby U19 - AGF U19, 1 - 1 (P)",AGF U19,1
AGF U19,"Lyngby U19 - AGF U19, 1 - 1 (P)",Middle,1
AGF U19,"Lyngby U19 - AGF U19, 1 - 1 (P)",Nordsjælland U19,1
AGF U19,"Midtjylland U19 - AGF U19, 4 - 0",AGF U19,1
AGF U19,"Midtjylland U19 - AGF U19, 4 - 0",Middle,1
AGF U19,"Midtjylland U19 - AGF U19, 4 - 0",Nordsjælland U19,1
AGF U19,"Nordsjælland U19 - AGF U19, 3 - 2",AGF U19,1
AGF U19,"Nordsjælland U19 - AGF U19, 3 - 2",Middle,1
AGF U19,"Nordsjælland U19 - AGF U19, 3 - 2",Nordsjælland U19,1
AGF U19,"OB U19 - AGF U19, 0 - 0",AGF U19,1
AGF U19,"OB U19 - AGF U19, 0 - 0",Middle,1
AGF U19,"OB U19 - AGF U19, 0 - 0",Nordsjælland U19,1
AGF U19,"Randers U19 - AGF U19, 0 - 2",AGF U19,1
AGF U19,"Randers U19 - AGF U19, 0 - 2",Middle,1
AGF U19,"Randers U19 - AGF U19, 0 - 2",Nordsjælland U19,1
AGF U19,"Silkeborg U19 - AGF U19, 2 - 1",AGF U19,1
AGF U19,"Silkeborg U19 - AGF U19, 2 - 1",Middle,1
AGF U19,"Silkeborg U19 - AGF U19, 2 - 1",Nordsjælland U19,1
AGF U19,"SønderjyskE U19 - AGF U19, 2 - 0",AGF U19,1
AGF U19,"SønderjyskE U19 - AGF U19, 2 - 0",Middle,1
AGF U19,"SønderjyskE U19 - AGF U19, 2 - 0",Nordsjælland U19,1
AGF U19,"Vejle U19 - AGF U19, 0 - 1",AGF U19,1
AGF U19,"Vejle U19 - AGF U19, 0 - 1",Middle,1
AGF U19,"Vejle U19 - AGF U19, 0 - 1",Nordsjælland U19,1
AaB U19,"AGF U19 - AaB U19, 2 - 1",AaB U19,1
AaB U19,"AGF U19 - AaB U19, 2 - 1",Middle,1
AaB U19,"AGF U19 - AaB U19, 2 - 1",Nordsjælland U19,1
AaB U19,"AaB U19 - AGF U19, 3 - 0",AaB U19,1
AaB U19,"AaB U19 - AGF U19, 3 - 0",Middle,1
AaB U19,"AaB U19 - AGF U19, 3 - 0",Nordsjælland U19,1
AaB U19,"AaB U19 - Brøndby U19, 2 - 4",AaB U19,1
AaB U19,"AaB U19 - Brøndby U19, 2 - 4",Middle,1
AaB U19,"AaB U19 - Brøndby U19, 2 - 4",Nordsjælland U19,1
AaB U19,"AaB U19 - Esbjerg U19, 2 - 2 (P)",AaB U19,1
AaB U19,"AaB U19 - Esbjerg U19, 2 - 2 (P)",Middle,1
AaB U19,"AaB U19 - Esbjerg U19, 2 - 2 (P)",Nordsjælland U19,1
AaB U19,"AaB U19 - København U19, 1 - 3",AaB U19,1
AaB U19,"AaB U19 - København U19, 1 - 3",Middle,1
AaB U19,"AaB U19 - København U19, 1 - 3",Nordsjælland U19,1
AaB U19,"AaB U19 - Lyngby U19, 1 - 2",AaB U19,1
AaB U19,"AaB U19 - Lyngby U19, 1 - 2",Middle,1
AaB U19,"AaB U19 - Lyngby U19, 1 - 2",Nordsjælland U19,1
AaB U19,"AaB U19 - Midtjylland U19, 2 - 1",AaB U19,1
AaB U19,"AaB U19 - Midtjylland U19, 2 - 1",Middle,1
AaB U19,"AaB U19 - Midtjylland U19, 2 - 1",Nordsjælland U19,1
AaB U19,"AaB U19 - Nordsjælland U19, 1 - 1 (P)",AaB U19,1
AaB U19,"AaB U19 - Nordsjælland U19, 1 - 1 (P)",Middle,1
AaB U19,"AaB U19 - Nordsjælland U19, 1 - 1 (P)",Nordsjælland U19,1
AaB U19,"AaB U19 - OB U19, 0 - 1",AaB U19,1
AaB U19,"AaB U19 - OB U19, 0 - 1",Middle,1
AaB U19,"AaB U19 - OB U19, 0 - 1",Nordsjælland U19,1
AaB U19,"AaB U19 - Randers U19, 1 - 1 (P)",AaB U19,1
AaB U19,"AaB U19 - Randers U19, 1 - 1 (P)",Middle,1
AaB U19,"AaB U19 - Randers U19, 1 - 1 (P)",Nordsjælland U19,1
AaB U19,"AaB U19 - Silkeborg U19, 1 - 1 (P)",AaB U19,1
AaB U19,"AaB U19 - Silkeborg U19, 1 - 1 (P)",Middle,1
AaB U19,"AaB U19 - Silkeborg U19, 1 - 1 (P)",Nordsjælland U19,1
AaB U19,"AaB U19 - SønderjyskE U19, 0 - 2",AaB U19,1
AaB U19,"AaB U19 - SønderjyskE U19, 0 - 2",Middle,1
AaB U19,"AaB U19 - SønderjyskE U19, 0 - 2",Nordsjælland U19,1
AaB U19,"AaB U19 - Vejle U19, 1 - 2",AaB U19,1
AaB U19,"AaB U19 - Vejle U19, 1 - 2",Middle,1
AaB U19,"AaB U19 - Vejle U19, 1 - 2",Nordsjælland U19,1
AaB U19,"Brøndby U19 - AaB U19, 1 - 0",AaB U19,1
AaB U19,"Brøndby U19 - AaB U19, 1 - 0",Middle,1
AaB U19,"Brøndby U19 - AaB U19, 1 - 0",Nordsjælland U19,1
AaB U19,"Esbjerg U19 - AaB U19, 1 - 1 (E)",AaB U19,1
AaB U19,"Esbjerg U19 - AaB U19, 1 - 1 (E)",Middle,1
AaB U19,"Esbjerg U19 - AaB U19, 1 - 1 (E)",Nordsjælland U19,1
AaB U19,"Horsens U19 - AaB U19, 4 - 4 (P)",AaB U19,1
AaB U19,"Horsens U19 - AaB U19, 4 - 4 (P)",Middle,1
AaB U19,"Horsens U19 - AaB U19, 4 - 4 (P)",Nordsjælland U19,1
AaB U19,"København U19 - AaB U19, 3 - 1",AaB U19,1
AaB U19,"København U19 - AaB U19, 3 - 1",Middle,1
AaB U19,"København U19 - AaB U19, 3 - 1",Nordsjælland U19,1
AaB U19,"Lyngby U19 - AaB U19, 2 - 1",AaB U19,1
AaB U19,"Lyngby U19 - AaB U19, 2 - 1",Middle,1
AaB U19,"Lyngby U19 - AaB U19, 2 - 1",Nordsjælland U19,1
AaB U19,"Nordsjælland U19 - AaB U19, 2 - 2",AaB U19,1
AaB U19,"Nordsjælland U19 - AaB U19, 2 - 2",Middle,1
AaB U19,"Nordsjælland U19 - AaB U19, 2 - 2",Nordsjælland U19,1
AaB U19,"OB U19 - AaB U19, 1 - 0",AaB U19,1
AaB U19,"OB U19 - AaB U19, 1 - 0",Middle,1
AaB U19,"OB U19 - AaB U19, 1 - 0",Nordsjælland U19,1
AaB U19,"Randers U19 - AaB U19, 5 - 2",AaB U19,1
AaB U19,"Randers U19 - AaB U19, 5 - 2",Middle,1
AaB U19,"Randers U19 - AaB U19, 5 - 2",Nordsjælland U19,1
AaB U19,"Silkeborg U19 - AaB U19, 3 - 1",AaB U19,1
AaB U19,"Silkeborg U19 - AaB U19, 3 - 1",Middle,1
AaB U19,"Silkeborg U19 - AaB U19, 3 - 1",Nordsjælland U19,1
AaB U19,"SønderjyskE U19 - AaB U19, 0 - 0",AaB U19,1
AaB U19,"SønderjyskE U19 - AaB U19, 0 - 0",Middle,1
AaB U19,"SønderjyskE U19 - AaB U19, 0 - 0",Nordsjælland U19,1
AaB U19,"SønderjyskE U19 - AaB U19, 3 - 3 (P)",AaB U19,1
AaB U19,"SønderjyskE U19 - AaB U19, 3 - 3 (P)",Middle,1
AaB U19,"SønderjyskE U19 - AaB U19, 3 - 3 (P)",Nordsjælland U19,1
AaB U19,"Vejle U19 - AaB U19, 1 - 2",AaB U19,1
AaB U19,"Vejle U19 - AaB U19, 1 - 2",Middle,1
AaB U19,"Vejle U19 - AaB U19, 1 - 2",Nordsjælland U19,1
Brøndby U19,"AGF U19 - Brøndby U19, 2 - 2 (P)",Brøndby U19,1
Brøndby U19,"AGF U19 - Brøndby U19, 2 - 2 (P)",Middle,1
Brøndby U19,"AGF U19 - Brøndby U19, 2 - 2 (P)",Nordsjælland U19,1
Brøndby U19,"AaB U19 - Brøndby U19, 2 - 4",Brøndby U19,1
Brøndby U19,"AaB U19 - Brøndby U19, 2 - 4",Middle,1
Brøndby U19,"AaB U19 - Brøndby U19, 2 - 4",Nordsjælland U19,1
Brøndby U19,"Brøndby U19 - AGF U19, 3 - 6",Brøndby U19,1
Brøndby U19,"Brøndby U19 - AGF U19, 3 - 6",Middle,1
Brøndby U19,"Brøndby U19 - AGF U19, 3 - 6",Nordsjælland U19,1
Brøndby U19,"Brøndby U19 - AaB U19, 1 - 0",Brøndby U19,1
Brøndby U19,"Brøndby U19 - AaB U19, 1 - 0",Middle,1
Brøndby U19,"Brøndby U19 - AaB U19, 1 - 0",Nordsjælland U19,1
Brøndby U19,"Brøndby U19 - Esbjerg U19, 2 - 1",Brøndby U19,1
Brøndby U19,"Brøndby U19 - Esbjerg U19, 2 - 1",Middle,1
Brøndby U19,"Brøndby U19 - Esbjerg U19, 2 - 1",Nordsjælland U19,1
Brøndby U19,"Brøndby U19 - Horsens U19, 4 - 1",Brøndby U19,1
Brøndby U19,"Brøndby U19 - Horsens U19, 4 - 1",Middle,1
Brøndby U19,"Brøndby U19 - Horsens U19, 4 - 1",Nordsjælland U19,1
Brøndby U19,"Brøndby U19 - København U19, 1 - 0",Brøndby U19,1
Brøndby U19,"Brøndby U19 - København U19, 1 - 0",Middle,1
Brøndby U19,"Brøndby U19 - København U19, 1 - 0",Nordsjælland U19,1
Brøndby U19,"Brøndby U19 - Lyngby U19, 2 - 0",Brøndby U19,1
Brøndby U19,"Brøndby U19 - Lyngby U19, 2 - 0",Middle,1
Brøndby U19,"Brøndby U19 - Lyngby U19, 2 - 0",Nordsjælland U19,1
Brøndby U19,"Brøndby U19 - Midtjylland U19, 4 - 3",Brøndby U19,1
Brøndby U19,"Brøndby U19 - Midtjylland U19, 4 - 3",Middle,1
Brøndby U19,"Brøndby U19 - Midtjylland U19, 4 - 3",Nordsjælland U19,1
Brøndby U19,"Brøndby U19 - Nordsjælland U19, 3 - 1",Brøndby U19,1
Brøndby U19,"Brøndby U19 - Nordsjælland U19, 3 - 1",Middle,1
Brøndby U19,"Brøndby U19 - Nordsjælland U19, 3 - 1",Nordsjælland U19,1
Brøndby U19,"Brøndby U19 - OB U19, 0 - 3",Brøndby U19,1
Brøndby U19,"Brøndby U19 - OB U19, 0 - 3",Middle,1
Brøndby U19,"Brøndby U19 - OB U19, 0 - 3",Nordsjælland U19,1
Brøndby U19,"Brøndby U19 - Randers U19, 6 - 3",Brøndby U19,1
Brøndby U19,"Brøndby U19 - Randers U19, 6 - 3",Middle,1
Brøndby U19,"Brøndby U19 - Randers U19, 6 - 3",Nordsjælland U19,1
Brøndby U19,"Brøndby U19 - SønderjyskE U19, 3 - 2",Brøndby U19,1
Brøndby U19,"Brøndby U19 - SønderjyskE U19, 3 - 2",Middle,1
Brøndby U19,"Brøndby U19 - SønderjyskE U19, 3 - 2",Nordsjælland U19,1
Brøndby U19,"Brøndby U19 - Vejle U19, 3 - 1",Brøndby U19,1
Brøndby U19,"Brøndby U19 - Vejle U19, 3 - 1",Middle,1
Brøndby U19,"Brøndby U19 - Vejle U19, 3 - 1",Nordsjælland U19,1
Brøndby U19,"Esbjerg U19 - Brøndby U19, 2 - 3",Brøndby U19,1
Brøndby U19,"Esbjerg U19 - Brøndby U19, 2 - 3",Middle,1
Brøndby U19,"Esbjerg U19 - Brøndby U19, 2 - 3",Nordsjælland U19,1
Brøndby U19,"Horsens U19 - Brøndby U19, 3 - 6",Brøndby U19,1
Brøndby U19,"Horsens U19 - Brøndby U19, 3 - 6",Middle,1
Brøndby U19,"Horsens U19 - Brøndby U19, 3 - 6",Nordsjælland U19,1
Brøndby U19,"København U19 - Brøndby U19, 2 - 0",Brøndby U19,1
Brøndby U19,"København U19 - Brøndby U19, 2 - 0",Middle,1
Brøndby U19,"København U19 - Brøndby U19, 2 - 0",Nordsjælland U19,1
Brøndby U19,"Lyngby U19 - Brøndby U19, 1 - 3",Brøndby U19,1
Brøndby U19,"Lyngby U19 - Brøndby U19, 1 - 3",Middle,1
Brøndby U19,"Lyngby U19 - Brøndby U19, 1 - 3",Nordsjælland U19,1
Brøndby U19,"Midtjylland U19 - Brøndby U19, 3 - 2",Brøndby U19,1
Brøndby U19,"Midtjylland U19 - Brøndby U19, 3 - 2",Middle,1
Brøndby U19,"Midtjylland U19 - Brøndby U19, 3 - 2",Nordsjælland U19,1
Brøndby U19,"Nordsjælland U19 - Brøndby U19, 1 - 1 (P)",Brøndby U19,1
Brøndby U19,"Nordsjælland U19 - Brøndby U19, 1 - 1 (P)",Middle,1
Brøndby U19,"Nordsjælland U19 - Brøndby U19, 1 - 1 (P)",Nordsjælland U19,1
Brøndby U19,"OB U19 - Brøndby U19, 3 - 3 (P)",Brøndby U19,1
Brøndby U19,"OB U19 - Brøndby U19, 3 - 3 (P)",Middle,1
Brøndby U19,"OB U19 - Brøndby U19, 3 - 3 (P)",Nordsjælland U19,1
Brøndby U19,"Randers U19 - Brøndby U19, 3 - 1",Brøndby U19,1
Brøndby U19,"Randers U19 - Brøndby U19, 3 - 1",Middle,1
Brøndby U19,"Randers U19 - Brøndby U19, 3 - 1",Nordsjælland U19,1
Brøndby U19,"Silkeborg U19 - Brøndby U19, 2 - 5",Brøndby U19,1
Brøndby U19,"Silkeborg U19 - Brøndby U19, 2 - 5",Middle,1
Brøndby U19,"Silkeborg U19 - Brøndby U19, 2 - 5",Nordsjælland U19,1
Brøndby U19,"SønderjyskE U19 - Brøndby U19, 0 - 3",Brøndby U19,1
Brøndby U19,"SønderjyskE U19 - Brøndby U19, 0 - 3",Middle,1
Brøndby U19,"SønderjyskE U19 - Brøndby U19, 0 - 3",Nordsjælland U19,1
Brøndby U19,"Vejle U19 - Brøndby U19, 1 - 2",Brøndby U19,1
Brøndby U19,"Vejle U19 - Brøndby U19, 1 - 2",Middle,1
Brøndby U19,"Vejle U19 - Brøndby U19, 1 - 2",Nordsjælland U19,1
Esbjerg U19,"AGF U19 - Esbjerg U19, 0 - 4",Esbjerg U19,1
Esbjerg U19,"AGF U19 - Esbjerg U19, 0 - 4",Middle,1
Esbjerg U19,"AGF U19 - Esbjerg U19, 0 - 4",Nordsjælland U19,1
Esbjerg U19,"AaB U19 - Esbjerg U19, 2 - 2 (P)",Esbjerg U19,1
Esbjerg U19,"AaB U19 - Esbjerg U19, 2 - 2 (P)",Middle,1
Esbjerg U19,"AaB U19 - Esbjerg U19, 2 - 2 (P)",Nordsjælland U19,1
Esbjerg U19,"Brøndby U19 - Esbjerg U19, 2 - 1",Esbjerg U19,1
Esbjerg U19,"Brøndby U19 - Esbjerg U19, 2 - 1",Middle,1
Esbjerg U19,"Brøndby U19 - Esbjerg U19, 2 - 1",Nordsjælland U19,1
Esbjerg U19,"Esbjerg U19 - AGF U19, 2 - 3",Esbjerg U19,1
Esbjerg U19,"Esbjerg U19 - AGF U19, 2 - 3",Middle,1
Esbjerg U19,"Esbjerg U19 - AGF U19, 2 - 3",Nordsjælland U19,1
Esbjerg U19,"Esbjerg U19 - AaB U19, 1 - 1 (E)",Esbjerg U19,1
Esbjerg U19,"Esbjerg U19 - AaB U19, 1 - 1 (E)",Middle,1
Esbjerg U19,"Esbjerg U19 - AaB U19, 1 - 1 (E)",Nordsjælland U19,1
Esbjerg U19,"Esbjerg U19 - Brøndby U19, 2 - 3",Esbjerg U19,1
Esbjerg U19,"Esbjerg U19 - Brøndby U19, 2 - 3",Middle,1
Esbjerg U19,"Esbjerg U19 - Brøndby U19, 2 - 3",Nordsjælland U19,1
Esbjerg U19,"Esbjerg U19 - Horsens U19, 2 - 2 (P)",Esbjerg U19,1
Esbjerg U19,"Esbjerg U19 - Horsens U19, 2 - 2 (P)",Middle,1
Esbjerg U19,"Esbjerg U19 - Horsens U19, 2 - 2 (P)",Nordsjælland U19,1
Esbjerg U19,"Esbjerg U19 - København U19, 1 - 6",Esbjerg U19,1
Esbjerg U19,"Esbjerg U19 - København U19, 1 - 6",Middle,1
Esbjerg U19,"Esbjerg U19 - København U19, 1 - 6",Nordsjælland U19,1
Esbjerg U19,"Esbjerg U19 - Lyngby U19, 0 - 3",Esbjerg U19,1
Esbjerg U19,"Esbjerg U19 - Lyngby U19, 0 - 3",Middle,1
Esbjerg U19,"Esbjerg U19 - Lyngby U19, 0 - 3",Nordsjælland U19,1
Esbjerg U19,"Esbjerg U19 - Nordsjælland U19, 1 - 2",Esbjerg U19,1
Esbjerg U19,"Esbjerg U19 - Nordsjælland U19, 1 - 2",Middle,1
Esbjerg U19,"Esbjerg U19 - Nordsjælland U19, 1 - 2",Nordsjælland U19,1
Esbjerg U19,"Esbjerg U19 - OB U19, 3 - 5",Esbjerg U19,1
Esbjerg U19,"Esbjerg U19 - OB U19, 3 - 5",Middle,1
Esbjerg U19,"Esbjerg U19 - OB U19, 3 - 5",Nordsjælland U19,1
Esbjerg U19,"Esbjerg U19 - Randers U19, 1 - 0",Esbjerg U19,1
Esbjerg U19,"Esbjerg U19 - Randers U19, 1 - 0",Middle,1
Esbjerg U19,"Esbjerg U19 - Randers U19, 1 - 0",Nordsjælland U19,1
Esbjerg U19,"Esbjerg U19 - Silkeborg U19, 4 - 0",Esbjerg U19,1
Esbjerg U19,"Esbjerg U19 - Silkeborg U19, 4 - 0",Middle,1
Esbjerg U19,"Esbjerg U19 - Silkeborg U19, 4 - 0",Nordsjælland U19,1
Esbjerg U19,"Esbjerg U19 - SønderjyskE U19, 0 - 3",Esbjerg U19,1
Esbjerg U19,"Esbjerg U19 - SønderjyskE U19, 0 - 3",Middle,1
Esbjerg U19,"Esbjerg U19 - SønderjyskE U19, 0 - 3",Nordsjælland U19,1
Esbjerg U19,"Esbjerg U19 - Vejle U19, 2 - 3",Esbjerg U19,1
Esbjerg U19,"Esbjerg U19 - Vejle U19, 2 - 3",Middle,1
Esbjerg U19,"Esbjerg U19 - Vejle U19, 2 - 3",Nordsjælland U19,1
Esbjerg U19,"Horsens U19 - Esbjerg U19, 3 - 1",Esbjerg U19,1
Esbjerg U19,"Horsens U19 - Esbjerg U19, 3 - 1",Middle,1
Esbjerg U19,"Horsens U19 - Esbjerg U19, 3 - 1",Nordsjælland U19,1
